1,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,2,0,0
0,2,0,0
0,2,0,0
1,3,0,0
4,7,0,0
1,8,0,0
11,19,0,0
0,19,0,0
6,25,0,0
0,25,0,0
9,34,0,0
18,52,0,0
46,98,0,0
23,121,0,0
0,121,0,0
79,200,0,0
34,234,0,0
57,291,1,1
137,428,3,4
193,621,0,4
283,904,7,11
0,904,0,11
0,904,0,11
1297,2201,35,46
0,2201,0,46
232,2433,11,57
0,2433,0,57
482,2915,20,77
502,3417,15,92
487,3904,22,114
352,4256,22,136
323,4579,23,159
1138,5717,42,201
1119,6836,40,241
1074,7910,58,299
1146,9056,60,359
1222,10278,73,432
852,11130,54,486
926,12056,67,553
1661,13717,114,667
2210,15927,133,800
1930,17857,141,941
1781,19638,115,1056
1089,20727,68,1124
1442,22169,99,1223
1261,23430,105,1328
1832,25262,204,1532
3058,28320,204,1736
2105,30425,188,1924
3257,33682,217,2141
2917,36599,206,2347
2055,38654,115,2462
1927,40581,113,2575
2498,43079,166,2741
2678,45757,165,2906
3735,49492,407,3313
3503,52995,357,3670
5514,58509,346,4016
3379,61888,189,4205
4613,66501,338,4543
5385,71886,474,5017
6276,78162,449,5466
7218,85380,435,5901
6209,91589,428,6329
4970,96559,421,6750
4588,101147,275,7025
6633,107780,296,7321
6935,114715,600,7921
10503,125218,615,8536
9888,135106,610,9146
10222,145328,751,9897
10611,155939,730,10627
6760,162699,496,11123
5632,168331,396,11519
9258,177589,881,12400
11385,188974,749,13149
13944,202918,844,13993
15305,218223,824,14817
14919,233142,816,15633
7938,241080,485,16118
13140,254220,674,16792
17408,271628,1179,17971
19951,291579,888,18859
18508,310087,1188,20047
20803,330890,1001,21048
16508,347398,965,22013
15813,363211,653,22666
11687,374898,807,23473
16324,391222,1039,24512
20599,411821,1086,25598
26417,438238,1156,26754
26928,465166,1124,27878
33274,498440,956,28834
16409,514849,480,29314
11598,526447,623,29937
28936,555383,1262,31199
28633,584016,1349,32548
30925,614941,1473,34021
30830,645771,1005,35026
27075,672846,904,35930
18912,691758,525,36455
15654,707412,679,37134
32091,739503,1272,38406
32913,772416,1274,39680
30412,802828,1239,40919
25982,828810,909,41828
21704,850514,892,42720
17110,867624,612,43332
20647,888271,627,43959
34918,923189,1282,45241
32188,955377,1269,46510
22765,978142,1238,47748
54771,1032913,1206,48954
34666,1067579,1022,49976
17459,1085038,641,50617
21432,1106470,654,51271
39436,1145906,1374,52645
42725,1188631,1185,53830
39483,1228114,1141,54971
46860,1274974,990,55961
38693,1313667,1109,57070
30476,1344143,552,57622
24052,1368195,692,58314
33846,1402041,1280,59594
46712,1448753,1038,60632
48105,1496858,1252,61884
42223,1539081,1290,63174
37923,1577004,1091,64265
26051,1603055,602,64867
20229,1623284,620,65487
45305,1668589,1254,66741
44571,1713160,1223,67964
42619,1755779,1220,69184
45048,1800827,1214,70398
39023,1839850,1071,71469
24831,1864681,631,72100
20286,1884967,733,72833
41857,1926824,1300,74133
39924,1966748,1233,75366
45403,2012151,1322,76688
34177,2046328,1163,77851
28532,2074860,921,78772
